0.04,-10.32,-1.14,0
-1.80,-10.79,-0.43,41364
0.55,-10.47,-2.63,18424
0.39,-10.83,5.49,19988
1.18,-10.94,2.75,25136
0.78,-8.79,-0.39,18368
0.59,-8.63,-0.31,19940
1.06,-9.49,-1.06,25244
-0.63,-11.06,-0.67,18252
-0.24,-11.02,-0.78,20008
1.26,-9.85,0.12,25256
0.75,-11.10,-6.86,18308
-0.90,-10.75,-4.00,20016
-1.26,-9.85,-1.10,25224
-0.75,-9.02,1.29,18408
0.63,-9.57,-0.08,19944
-0.08,-11.14,0.00,25168
1.33,-11.49,-0.82,18276
2.59,-7.69,-0.51,19992
1.06,-8.98,-0.47,25280
0.31,-11.06,-0.47,18316
-0.47,-10.67,-0.59,28220
-0.27,-9.85,-0.35,21788
0.51,-10.08,-0.94,19216
0.35,-10.59,-1.02,22568
0.43,-9.92,-0.16,21724
1.10,-10.08,0.08,19148
0.35,-9.49,-0.75,22516
-0.04,-10.43,-0.04,21752
-0.82,-10.47,-0.20,19228
0.82,-9.53,0.16,22616
0.39,-10.40,-0.20,21644
-0.71,-10.43,-0.39,19232
0.94,-10.71,-0.75,22664
-0.47,-8.63,-0.04,21720
1.73,-10.71,-0.51,19180
1.49,-10.71,-0.04,22648
0.55,-9.38,-0.63,21760
0.63,-10.63,-0.20,19180
0.67,-10.32,-0.78,22620
0.67,-10.28,-0.47,21720
0.94,-10.43,-0.75,19204
1.06,-10.12,-0.31,30892
0.98,-9.89,-0.27,18320
0.86,-10.43,-1.14,19944
1.02,-10.79,-0.31,25300
0.71,-9.10,-0.94,18312
0.35,-9.65,-0.31,19936
0.86,-10.04,-0.35,25188
1.29,-9.85,-1.49,18252
0.75,-9.45,-0.82,19924
0.35,-9.89,-0.43,25152
0.63,-10.90,-1.02,18184
0.82,-10.79,-0.90,19976
