0.47,-10.98,-1.26,0
0.55,-10.08,-0.55,37552
1.49,-13.22,-1.33,23020
0.47,-10.00,-0.20,22808
1.26,-11.10,-0.67,25308
1.10,-10.59,-1.06,22724
1.06,-10.04,-0.94,17308
0.00,-10.75,-1.33,18240
1.33,-10.40,-1.18,18468
1.02,-10.90,-0.63,18456
1.06,-10.55,0.27,22452
0.71,-10.12,-0.47,21668
2.12,-10.43,-0.51,19144
2.55,-10.20,-0.39,22460
2.35,-9.96,-0.08,21560
3.14,-9.92,0.04,19096
3.69,-10.00,0.90,22760
3.41,-9.30,0.75,21804
3.37,-9.73,0.12,19080
2.79,-9.77,0.31,22712
4.12,-9.30,-0.08,21800
2.04,-12.71,-0.24,19092
1.61,-10.08,0.00,30956
1.96,-10.83,-0.12,18272
1.92,-12.55,-0.39,19964
2.98,-9.49,-0.39,25312
2.55,-11.65,-0.59,18256
2.90,-11.77,-0.63,19996
3.26,-10.55,-0.63,25264
3.57,-9.02,-1.22,18324
3.10,-9.81,0.51,19940
3.65,-11.10,-0.12,25576
2.86,-10.94,-0.82,18336
3.41,-8.79,0.20,20116
3.22,-8.43,-1.22,25228
1.65,-9.06,0.08,18308
2.79,-10.28,0.35,19872
2.24,-9.77,0.90,25344
0.63,-9.22,1.41,18232
2.75,-9.38,1.33,19892
1.73,-9.18,0.94,25136
3.26,-8.04,1.02,18264
2.04,-9.26,-0.04,19880
3.14,-9.38,0.31,29908
4.86,-8.39,0.86,19244
2.47,-10.55,1.41,22588
2.39,-9.45,0.98,21776
2.75,-9.77,0.90,19072
2.35,-9.10,1.69,22648
2.67,-8.94,0.78,21640
2.47,-8.43,0.59,19072
2.43,-8.39,0.67,22704
2.75,-9.69,0.90,21724
2.71,-9.85,1.26,19060
2.67,-9.57,1.22,22580
3.26,-10.59,1.41,21692
2.94,-10.71,1.57,19124
2.20,-11.38,1.77,22784
2.35,-10.67,1.41,21672
2.39,-10.20,1.77,19128
2.67,-9.73,1.49,22632
2.71,-8.98,1.10,21636
2.82,-8.39,1.02,19076
2.35,-9.65,1.02,22588
2.35,-9.89,1.29,21752
2.20,-10.79,1.18,24560
2.51,-9.65,1.02,25236
1.96,-9.89,1.02,95976
2.90,-10.00,0.94,25312
2.59,-10.08,1.65,18268
2.47,-9.85,1.26,19928
2.16,-9.69,2.75,25044
2.39,-8.71,1.41,18264
2.00,-8.94,2.04,19892
2.63,-9.57,1.33,24984
2.55,-9.61,1.69,18308
2.35,-9.89,1.92,19916
2.00,-10.32,1.22,25152
2.51,-10.87,1.73,18328
1.77,-9.89,1.80,19708
2.00,-9.96,1.18,25040
2.67,-9.85,1.26,18204
2.67,-9.81,1.37,19904
2.04,-9.02,2.08,25088
1.73,-8.79,1.49,18212
2.63,-9.02,1.61,19904
2.43,-8.83,1.88,25116
